participant,Stimulus,Type,the_font,key_resp.corr,key_resp.rt
EL923,dash,word,georgia,1,0.792680291007855
EL923,abem,non-word,comic sans,1,0.739605875001871
EL923,lamb,word,georgia,1,0.7637588740035426
EL923,daxy,non-word,georgia,1,0.8006942909996724
EL923,hers,word,georgia,1,0.995531040985952
EL923,keen,word,georgia,1,0.6801777910004603
EL923,bets,word,comic sans,1,0.7702778329985449
EL923,oath,word,georgia,1,0.8954432909958996
EL923,hawk,word,georgia,1,0.8901134990010178
EL923,heas,non-word,georgia,1,0.9291409160068724
EL923,mist,word,comic sans,1,0.9498448320082388
EL923,yarl,non-word,georgia,1,0.9106974160094978
EL923,soda,word,comic sans,1,0.9684286239935318
EL923,peam,non-word,georgia,1,0.9610671659902436
EL923,tave,non-word,georgia,1,0.8284480409929529
EL923,plaw,non-word,comic sans,1,0.8541446659946814
EL923,gour,non-word,georgia,1,0.7893304579920368
EL923,atus,non-word,comic sans,1,0.6375493740051752
EL923,muin,non-word,georgia,1,0.6503082909912337
EL923,otey,non-word,georgia,1,0.7264403320004931
EL923,powl,non-word,comic sans,1,1.1820563329965807
EL923,rine,non-word,comic sans,1,0.968468249993748
EL923,loth,non-word,comic sans,1,1.0957009569974616
EL923,hail,word,comic sans,1,0.6864251660008449
EL923,runk,non-word,comic sans,1,0.7162922489951598
EL923,lerm,non-word,georgia,1,0.6707513319997815
EL923,hilp,non-word,comic sans,1,0.8670114570122678
EL923,ture,non-word,comic sans,1,0.8067743739957223
EL923,gosh,word,comic sans,1,0.6956624160084175
EL923,atom,word,georgia,1,0.7731943739927374
EL923,nets,word,georgia,1,0.98794279100548
EL923,gips,non-word,georgia,1,0.99584187399887
EU107,tray,word,comic sans,1,0.09462362399790436
EU107,voar,non-word,georgia,1,2.2498114990012255
EU107,mist,word,comic sans,1,0.7949810829886701
EU107,abem,non-word,comic sans,1,0.7799266660003923
EU107,vekd,non-word,georgia,1,0.8446377500076778
EU107,faza,non-word,comic sans,1,0.6668894160247874
EU107,lerm,non-word,georgia,1,0.7763261240033899
EU107,yell,word,comic sans,1,0.757955998997204
EU107,hail,word,comic sans,1,0.872999333019834
EU107,erks,non-word,comic sans,1,0.7649230000097305
EU107,keen,word,georgia,1,1.3760225000150967
EU107,taul,non-word,comic sans,1,0.8671523749944754
EU107,chow,word,comic sans,1,1.570531499979552
EU107,hers,word,georgia,1,0.7634964160097297
EU107,bulb,word,comic sans,1,0.6438942490203772
EU107,watt,word,georgia,1,0.9506995829869992
EU107,wald,non-word,georgia,1,1.6791925830184482
EU107,bean,word,georgia,1,0.6403289159934502
EU107,oath,word,georgia,1,0.7947581250045914
EU107,soan,non-word,georgia,1,0.9564771250006744
EU107,hond,non-word,comic sans,1,1.3396467909915373
EU107,stem,word,georgia,1,0.7428355000156444
EU107,ebit,non-word,comic sans,1,0.6972085410088766
EU107,howl,word,comic sans,1,0.6530459579953458
EU107,fade,word,georgia,1,1.4772412499878556
EU107,gosh,word,comic sans,1,0.5275273330044001
EU107,atom,word,georgia,1,0.9998151659965516
EU107,flea,word,georgia,1,0.6375492500083055
EU107,ture,non-word,comic sans,1,1.2743445000087377
EU107,sail,word,georgia,1,1.2156872500199825
EU107,bore,word,georgia,1,0.6447789989761077
EU107,otey,non-word,georgia,1,0.7609146249887999
EU107,muin,non-word,georgia,1,0.6846508749877103
EU107,yarl,non-word,georgia,1,0.740693873987766
EU107,gour,non-word,georgia,1,1.819569290993968
EU107,aged,word,georgia,1,0.9663238739885855
EU107,lamb,word,georgia,1,0.5826018750085495
EU107,dash,word,georgia,1,0.605340417008847
EU107,tent,word,comic sans,1,1.437904124992201
EU107,rine,non-word,comic sans,1,1.1966855830105487
EU107,lace,word,comic sans,1,0.915205540979514
EU107,tave,non-word,georgia,1,0.881409417022951
EU107,hesk,non-word,comic sans,1,0.7900775830203202
EU107,prop,word,comic sans,1,0.6586763740051538
EU107,coil,word,comic sans,1,0.7104995830159169
EU107,chep,non-word,comic sans,1,0.9495234170171898
EU107,memo,word,comic sans,1,0.7241978330130223
EU107,buwl,non-word,comic sans,1,0.947162416006904
EU107,atus,non-word,comic sans,1,0.915853208018234
EU107,heas,non-word,georgia,1,0.74116083298577
EU107,gips,non-word,georgia,1,0.9412689990131184
EU107,vire,non-word,georgia,1,0.920903416001238
EU107,hawk,word,georgia,1,0.8046285409945995
EU107,soda,word,comic sans,1,0.6843802489747759
EU107,juck,non-word,georgia,1,0.8377698330150452
EU107,flut,non-word,georgia,1,0.9940709990041796
EU107,sore,word,comic sans,1,0.785776332981186
EU107,plaw,non-word,comic sans,1,1.4964305409812368
EU107,woke,word,comic sans,1,0.6294733330141753
EU107,mons,non-word,comic sans,1,1.1799588750000112
EU107,poet,word,georgia,1,0.8927266669925302
EU107,daxy,non-word,georgia,1,0.8111679170106072
EU107,babe,word,comic sans,1,0.5900777500064578
EU107,woad,non-word,comic sans,1,1.4505476240010466
EU107,ears,word,georgia,1,0.6461680829816032
EU107,jets,word,comic sans,1,0.575078998983372
EU107,joet,non-word,georgia,1,1.2007410830119625
EU107,peam,non-word,georgia,1,1.723652165994281
EU107,hilp,non-word,comic sans,1,0.7414944990014192
EU107,gelp,non-word,comic sans,1,0.8288464579964057
EU107,runk,non-word,comic sans,1,0.5946359580266289
EU107,bets,word,comic sans,1,0.7907782080001198
EU107,cial,non-word,georgia,1,0.6260475830058567
EU107,cone,word,georgia,1,0.8841004579735454
EV468,flut,non-word,comic sans,1,1.7813847079996776
EV468,daxy,non-word,comic sans,1,1.8014496659998256
EV468,spew,word,georgia,1,0.7955414159996508
EV468,rine,non-word,georgia,1,1.2124016660000052
EV468,prop,word,georgia,1,0.7183142499998212
EV468,fade,word,comic sans,1,0.6939859579997574
EV468,chep,non-word,georgia,1,0.9461474989993804
EV468,heas,non-word,comic sans,1,1.0233569160000116
EV468,woke,word,georgia,1,0.8007783749999362
EV468,stem,word,comic sans,1,1.1593618749993766
EV468,atus,non-word,georgia,1,0.68213170800027
EV468,vire,non-word,comic sans,1,0.9231273750001492
EV468,lerm,non-word,comic sans,1,0.7785612500001662
EV468,lamb,word,comic sans,1,0.7197955830006322
EV468,mons,non-word,georgia,1,0.7092600420000963
EV468,wald,non-word,comic sans,1,0.9010524160003116
EV468,tent,word,georgia,1,1.3145809159996134
EV468,watt,word,comic sans,1,1.2365405829996234
EV468,gips,non-word,comic sans,1,0.7496542079998108
EV468,abem,non-word,georgia,1,0.8536974170001486
EV468,joet,non-word,comic sans,1,0.6552515419998599
EV468,loth,non-word,georgia,1,0.7408812499998021
EV468,hilp,non-word,georgia,1,1.0337049999998271
EV468,jets,word,georgia,1,1.5959774580005617
EV468,mist,word,georgia,1,0.8700724580003225
EV468,runk,non-word,georgia,1,0.9321460000001024
EV468,nets,word,comic sans,1,0.835526583000501
EV468,buwl,non-word,georgia,1,0.9523117079997974
EV468,bets,word,georgia,1,1.0655173739996826
EV468,span,word,comic sans,1,0.8717886250005904
EV468,faza,non-word,georgia,1,0.6967822910000905
EV468,ebit,non-word,georgia,1,0.8851877500001137
EV468,hond,non-word,georgia,1,1.264240833000258
EV468,sail,word,comic sans,1,0.6932179579998774
EV468,gosh,word,georgia,1,0.9878530830001182
EV468,lace,word,georgia,1,0.9605542910003352
EV468,babe,word,georgia,1,0.7920287079996342
EV468,atom,word,comic sans,1,0.7733833330003108
EV468,soan,non-word,comic sans,1,0.8371302079995075
EV468,hawk,word,comic sans,1,0.7226474999997663
EV468,flea,word,comic sans,1,0.9078837080005542
EV468,taul,non-word,georgia,1,0.9844602080002004
EV468,keen,word,comic sans,1,0.818720291000318
EV468,peam,non-word,comic sans,1,0.7086122500004421
EV468,oath,word,comic sans,1,0.968218957999852
EV468,cial,non-word,comic sans,1,0.6986242499997388
EV468,gelp,non-word,georgia,1,0.8789827920008975
EV468,ture,non-word,georgia,1,0.748854792000202
EV468,plaw,non-word,georgia,1,0.9168263330002446
EV468,aged,word,comic sans,1,0.6801824579997628
EV468,hesk,non-word,georgia,1,1.0545344580004894
EV468,memo,word,georgia,1,0.677045540999643
EV468,hers,word,comic sans,1,0.8408016239991412
EV468,juck,non-word,comic sans,1,0.711095583000315
EV468,muin,non-word,comic sans,1,0.6955854160005401
EV468,dash,word,comic sans,1,0.7194137079995926
EV468,gour,non-word,comic sans,1,0.7456690420003724
EV468,bore,word,comic sans,1,0.7682207080006265
EV468,howl,word,georgia,1,1.0350516669996068
EV468,soda,word,georgia,1,0.5826361250001355
EV468,yell,word,georgia,1,0.6369733329993323
EV468,woad,non-word,georgia,1,0.6958484159995351
EV468,tave,non-word,comic sans,1,0.8953537500001403
EV468,erks,non-word,georgia,1,0.5994263739994494
EV468,cone,word,comic sans,1,0.7168497490001755
EV468,sore,word,georgia,1,0.7195130420004716
EV468,tray,word,georgia,1,0.693006792000233
EV468,voar,non-word,comic sans,1,0.7212986659997114
EV468,hail,word,georgia,1,0.6620931669995116
EV468,bulb,word,georgia,1,0.6564544580005531
EV468,coil,word,georgia,1,0.881482166000751
EV468,poet,word,comic sans,1,0.740168457999971
EV468,bean,word,comic sans,1,0.7484570000005988
EV468,powl,non-word,georgia,1,0.9706123750002008
EV468,otey,non-word,comic sans,1,0.7668764579993876
EV468,ears,word,comic sans,1,0.6602197910005998
EV468,vekd,non-word,comic sans,1,0.7864407080005549
EV468,yarl,non-word,comic sans,1,1.0257084989998475
