Stimulus,Type,log_freq_HAL,correct_response,the_font,the_font2,the_jpeg,phase,set,practicetrials.thisRepN,practicetrials.thisTrialN,practicetrials.thisN,practicetrials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,which_spreadsheet,intro_text.started,intro_text.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,image_practice.started,image_practice.stopped,response_practice.keys,response_practice.corr,response_practice.rt,response_practice.started,response_practice.stopped,feedback_text.started,feedback_text.stopped,text_3.started,text_3.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,image_comic.started,image_comic.stopped,image_georgia.started,image_georgia.stopped,text_end.started,text_end.stopped,participant,date,expName,psychopyVersion,frameRate,
vekd,non-word,None,n,georgia,2,Georgia76.jpeg,experimental,A,,,,,0,21,21,75,,,,,,,,,,,,,,,,,,,,,,,n,1,0.7448923750052927,79.5952360000083,None,None,None,79.5952360000083,None,,,EL923,2022_Feb_02_0935,LexicalDescionTrial,2021.2.3,59.785429852147495,
tray,word,8.126,w,comic sans,1,ComicSans19.jpeg,experimental,A,,,,,0,22,22,18,,,,,,,,,,,,,,,,,,,,,,,w,1,0.7196775409975089,80.37767166701087,None,80.37767166701087,None,None,None,,,EL923,2022_Feb_02_0935,LexicalDescionTrial,2021.2.3,59.785429852147495,
mons,non-word,None,n,comic sans,1,ComicSans45.jpeg,experimental,A,,,,,0,23,23,44,,,,,,,,,,,,,,,,,,,,,,,n,1,0.8145591659995262,81.14540712500457,None,81.14540712500457,None,None,None,,,EL923,2022_Feb_02_0935,LexicalDescionTrial,2021.2.3,59.785429852147495,
fade,word,8.162,w,georgia,2,Georgia33.jpeg,experimental,A,,,,,0,24,24,32,,,,,,,,,,,,,,,,,,,,,,,w,1,0.8537964569986798,81.99486162500398,None,None,None,81.99486162500398,None,,,EL923,2022_Feb_02_0935,LexicalDescionTrial,2021.2.3,59.785429852147495,
coil,word,8.127,w,comic sans,1,ComicSans20.jpeg,experimental,A,,,,,0,25,25,19,,,,,,,,,,,,,,,,,,,,,,,w,1,0.9881735410017427,82.89427958399756,None,82.89427958399756,None,None,None,,,EL923,2022_Feb_02_0935,LexicalDescionTrial,2021.2.3,59.785429852147495,
erks,non-word,None,n,comic sans,1,ComicSans49.jpeg,experimental,A,,,,,0,26,26,48,,,,,,,,,,,,,,,,,,,,,,,n,1,1.1156705830071587,83.92913541699818,None,83.92913541699818,None,None,None,,,EL923,2022_Feb_02_0935,LexicalDescionTrial,2021.2.3,59.785429852147495,
yell,word,8.108,w,comic sans,1,ComicSans13.jpeg,experimental,A,,,,,0,27,27,12,,,,,,,,,,,,,,,,,,,,,,,w,1,1.1701823329931358,85.07885016700311,None,85.07885016700311,None,None,None,,,EL923,2022_Feb_02_0935,LexicalDescionTrial,2021.2.3,59.785429852147495,
ears,word,8.15,w,georgia,2,Georgia32.jpeg,experimental,A,,,,,0,28,28,31,,,,,,,,,,,,,,,,,,,,,,,w,1,1.0093444160011131,86.29690174999996,None,None,None,86.29690174999996,None,,,EL923,2022_Feb_02_0935,LexicalDescionTrial,2021.2.3,59.785429852147495,
juck,non-word,None,n,georgia,2,Georgia72.jpeg,experimental,A,,,,,0,29,29,71,,,,,,,,,,,,,,,,,,,,,,,n,1,1.1822853319899878,87.34485879199929,None,None,None,87.34485879199929,None,,,EL923,2022_Feb_02_0935,LexicalDescionTrial,2021.2.3,59.785429852147495,
memo,word,8.108,w,comic sans,1,ComicSans12.jpeg,experimental,A,,,,,0,30,30,11,,,,,,,,,,,,,,,,,,,,,,,w,1,0.6708733330015093,88.56178962500417,None,88.56178962500417,None,None,None,,,EL923,2022_Feb_02_0935,LexicalDescionTrial,2021.2.3,59.785429852147495,
taul,non-word,None,n,comic sans,1,ComicSans57.jpeg,experimental,A,,,,,0,31,31,56,,,,,,,,,,,,,,,,,,,,,,,n,1,0.9327083329990273,89.27831354200316,None,89.27831354200316,None,None,None,,,EL923,2022_Feb_02_0935,LexicalDescionTrial,2021.2.3,59.785429852147495,
woke,word,8.078,w,comic sans,1,ComicSans4.jpeg,experimental,A,,,,,0,32,32,3,,,,,,,,,,,,,,,,,,,,,,,w,1,0.7643157910060836,90.24568704199919,None,90.24568704199919,None,None,None,,,EL923,2022_Feb_02_0935,LexicalDescionTrial,2021.2.3,59.785429852147495,
flea,word,8.144,w,georgia,2,Georgia27.jpeg,experimental,A,,,,,0,33,33,26,,,,,,,,,,,,,,,,,,,,,,,w,1,0.8228938319953158,91.0459570420062,None,None,None,91.0459570420062,None,,,EL923,2022_Feb_02_0935,LexicalDescionTrial,2021.2.3,59.785429852147495,
voar,non-word,None,n,georgia,2,Georgia70.jpeg,experimental,A,,,,,0,34,34,69,,,,,,,,,,,,,,,,,,,,,,,n,1,1.2557678739976836,91.91164254200703,None,None,None,91.91164254200703,None,,,EL923,2022_Feb_02_0935,LexicalDescionTrial,2021.2.3,59.785429852147495,
stem,word,8.183,w,georgia,2,Georgia37.jpeg,experimental,A,,,,,0,35,35,36,,,,,,,,,,,,,,,,,,,,,,,w,1,0.742443749011727,93.21246999999858,None,None,None,93.21246999999858,None,,,EL923,2022_Feb_02_0935,LexicalDescionTrial,2021.2.3,59.785429852147495,
chow,word,8.11,w,comic sans,1,ComicSans14.jpeg,experimental,A,,,,,0,36,36,13,,,,,,,,,,,,,,,,,,,,,,,n,0,1.0168230410054093,93.99615583400009,None,93.99615583400009,None,None,None,,,EL923,2022_Feb_02_0935,LexicalDescionTrial,2021.2.3,59.785429852147495,
aged,word,8.142,w,georgia,2,Georgia24.jpeg,experimental,A,,,,,0,37,37,23,,,,,,,,,,,,,,,,,,,,,,,w,1,0.6578864990005968,95.04537991700636,None,None,None,95.04537991700636,None,,,EL923,2022_Feb_02_0935,LexicalDescionTrial,2021.2.3,59.785429852147495,
faza,non-word,None,n,comic sans,1,ComicSans51.jpeg,experimental,A,,,,,0,38,38,50,,,,,,,,,,,,,,,,,,,,,,,n,1,0.8931712080084253,95.7454841669969,None,95.7454841669969,None,None,None,,,EL923,2022_Feb_02_0935,LexicalDescionTrial,2021.2.3,59.785429852147495,
