Stimulus,Type,log_freq_HAL,correct_response,the_font,the_font2,the_jpeg,phase,set,practicetrials.thisRepN,practicetrials.thisTrialN,practicetrials.thisN,practicetrials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,which_spreadsheet,intro_text.started,intro_text.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,image_practice.started,image_practice.stopped,response_practice.keys,response_practice.corr,response_practice.started,response_practice.stopped,feedback_text.started,feedback_text.stopped,response_practice.rt,text_3.started,text_3.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,image_comic.started,image_comic.stopped,image_georgia.started,image_georgia.stopped,text_end.started,text_end.stopped,participant,date,expName,psychopyVersion,frameRate,
watt,word,8.145,w,georgia,2,Georgia30.jpeg,experimental,A,,,,,0,16,16,29,,,,,,,,,,,,,,,,,,,,,,,w,1,0.9506995829869993,80.76689679099945,None,None,None,80.76689679099945,None,,,EU107,2022_Feb_04_0931,LexicalDescionTrial,2021.2.3,60.13048314096329,
wald,non-word,None,n,georgia,2,Georgia80.jpeg,experimental,A,,,,,0,17,17,79,,,,,,,,,,,,,,,,,,,,,,,n,1,1.6791925830184482,81.7496111250075,None,None,None,81.7496111250075,None,,,EU107,2022_Feb_04_0931,LexicalDescionTrial,2021.2.3,60.13048314096329,
bean,word,8.182,w,georgia,2,Georgia36.jpeg,experimental,A,,,,,0,18,18,35,,,,,,,,,,,,,,,,,,,,,,,w,1,0.6403289159934502,83.46733287500683,None,None,None,83.46733287500683,None,,,EU107,2022_Feb_04_0931,LexicalDescionTrial,2021.2.3,60.13048314096329,
oath,word,8.187,w,georgia,2,Georgia38.jpeg,experimental,A,,,,,0,19,19,37,,,,,,,,,,,,,,,,,,,,,,,w,1,0.7947581250045914,84.15184179099742,None,None,None,84.15184179099742,None,,,EU107,2022_Feb_04_0931,LexicalDescionTrial,2021.2.3,60.13048314096329,
soan,non-word,None,n,georgia,2,Georgia62.jpeg,experimental,A,,,,,0,20,20,61,,,,,,,,,,,,,,,,,,,,,,,n,1,0.9564771250006743,84.98491816601017,None,None,None,84.98491816601017,None,,,EU107,2022_Feb_04_0931,LexicalDescionTrial,2021.2.3,60.13048314096329,
hond,non-word,None,n,comic sans,1,ComicSans53.jpeg,experimental,A,,,,,0,21,21,52,,,,,,,,,,,,,,,,,,,,,,,n,1,1.3396467909915373,85.98356550000608,None,85.98356550000608,None,None,None,,,EU107,2022_Feb_04_0931,LexicalDescionTrial,2021.2.3,60.13048314096329,
stem,word,8.183,w,georgia,2,Georgia37.jpeg,experimental,A,,,,,0,22,22,36,,,,,,,,,,,,,,,,,,,,,,,w,1,0.7428355000156444,87.36694404098671,None,None,None,87.36694404098671,None,,,EU107,2022_Feb_04_0931,LexicalDescionTrial,2021.2.3,60.13048314096329,
ebit,non-word,None,n,comic sans,1,ComicSans50.jpeg,experimental,A,,,,,0,23,23,49,,,,,,,,,,,,,,,,,,,,,,,n,1,0.6972085410088766,88.15102316599223,None,88.15102316599223,None,None,None,,,EU107,2022_Feb_04_0931,LexicalDescionTrial,2021.2.3,60.13048314096329,
howl,word,8.079,w,comic sans,1,ComicSans6.jpeg,experimental,A,,,,,0,24,24,5,,,,,,,,,,,,,,,,,,,,,,,w,1,0.6530459579953458,88.8830096659949,None,88.8830096659949,None,None,None,,,EU107,2022_Feb_04_0931,LexicalDescionTrial,2021.2.3,60.13048314096329,
fade,word,8.162,w,georgia,2,Georgia33.jpeg,experimental,A,,,,,0,25,25,32,,,,,,,,,,,,,,,,,,,,,,,w,1,1.4772412499878556,89.56742595799733,None,None,None,89.56742595799733,None,,,EU107,2022_Feb_04_0931,LexicalDescionTrial,2021.2.3,60.13048314096329,
