Stimulus,Type,log_freq_HAL,correct_response,the_font,the_font2,the_jpeg,phase,set,practicetrials.thisRepN,practicetrials.thisTrialN,practicetrials.thisN,practicetrials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,which_spreadsheet,intro_text.started,intro_text.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,image_practice.started,image_practice.stopped,response_practice.keys,response_practice.corr,response_practice.started,response_practice.stopped,feedback_text.started,feedback_text.stopped,response_practice.rt,text_3.started,text_3.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,image_comic.started,image_comic.stopped,image_georgia.started,image_georgia.stopped,text_end.started,text_end.stopped,participant,date,expName,psychopyVersion,frameRate,
soan,non-word,None,n,comic sans,1,ComicSans62.jpeg,experimental,B,,,,,0,39,39,61,,,,,,,,,,,,,,,,,,,,,,,n,1,0.8371302079995075,127.24976154200067,None,127.24976154200067,None,None,None,,,EV468,2022_Jan_31_1103,LexicalDescionTrial,2021.2.3,59.8954224725242,
hawk,word,8.188,w,comic sans,1,ComicSans40.jpeg,experimental,B,,,,,0,40,40,39,,,,,,,,,,,,,,,,,,,,,,,w,1,0.7226474999997663,128.13348695900004,None,128.13348695900004,None,None,None,,,EV468,2022_Jan_31_1103,LexicalDescionTrial,2021.2.3,59.8954224725242,
flea,word,8.144,w,comic sans,1,ComicSans27.jpeg,experimental,B,,,,,0,41,41,26,,,,,,,,,,,,,,,,,,,,,,,w,1,0.9078837080005542,128.90032300000075,None,128.90032300000075,None,None,None,,,EV468,2022_Jan_31_1103,LexicalDescionTrial,2021.2.3,59.8954224725242,
taul,non-word,None,n,georgia,2,Georgia57.jpeg,experimental,B,,,,,0,42,42,56,,,,,,,,,,,,,,,,,,,,,,,n,1,0.9844602080002005,129.84916004200022,None,None,None,129.84916004200022,None,,,EV468,2022_Jan_31_1103,LexicalDescionTrial,2021.2.3,59.8954224725242,
keen,word,8.144,w,comic sans,1,ComicSans28.jpeg,experimental,B,,,,,0,43,43,27,,,,,,,,,,,,,,,,,,,,,,,w,1,0.818720291000318,130.86550795900075,None,130.86550795900075,None,None,None,,,EV468,2022_Jan_31_1103,LexicalDescionTrial,2021.2.3,59.8954224725242,
peam,non-word,None,n,comic sans,1,ComicSans64.jpeg,experimental,B,,,,,0,44,44,63,,,,,,,,,,,,,,,,,,,,,,,n,1,0.7086122500004421,131.71720441700018,None,131.71720441700018,None,None,None,,,EV468,2022_Jan_31_1103,LexicalDescionTrial,2021.2.3,59.8954224725242,
oath,word,8.187,w,comic sans,1,ComicSans38.jpeg,experimental,B,,,,,0,45,45,37,,,,,,,,,,,,,,,,,,,,,,,w,1,0.9682189579998521,132.46751400000085,None,132.46751400000085,None,None,None,,,EV468,2022_Jan_31_1103,LexicalDescionTrial,2021.2.3,59.8954224725242,
cial,non-word,None,n,comic sans,1,ComicSans77.jpeg,experimental,B,,,,,0,46,46,76,,,,,,,,,,,,,,,,,,,,,,,n,1,0.6986242499997388,133.46695050000017,None,133.46695050000017,None,None,None,,,EV468,2022_Jan_31_1103,LexicalDescionTrial,2021.2.3,59.8954224725242,
gelp,non-word,None,n,georgia,2,Georgia58.jpeg,experimental,B,,,,,0,47,47,57,,,,,,,,,,,,,,,,,,,,,,,n,1,0.8789827920008975,134.19836520900026,None,None,None,134.19836520900026,None,,,EV468,2022_Jan_31_1103,LexicalDescionTrial,2021.2.3,59.8954224725242,
ture,non-word,None,n,georgia,2,Georgia46.jpeg,experimental,B,,,,,0,48,48,45,,,,,,,,,,,,,,,,,,,,,,,n,1,0.748854792000202,135.11524858400026,None,None,None,135.11524858400026,None,,,EV468,2022_Jan_31_1103,LexicalDescionTrial,2021.2.3,59.8954224725242,
