Stimulus,Type,log_freq_HAL,correct_response,the_font,the_font2,the_jpeg,phase,set,practicetrials.thisRepN,practicetrials.thisTrialN,practicetrials.thisN,practicetrials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,which_spreadsheet,intro_text.started,intro_text.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,image_practice.started,image_practice.stopped,response_practice.keys,response_practice.corr,response_practice.rt,response_practice.started,response_practice.stopped,feedback_text.started,feedback_text.stopped,text_3.started,text_3.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,image_comic.started,image_comic.stopped,image_georgia.started,image_georgia.stopped,text_end.started,text_end.stopped,participant,date,expName,psychopyVersion,frameRate,
soda,word,8.122,w,comic sans,1,ComicSans18.jpeg,experimental,A,,,,,0,18,18,17,,,,,,,,,,,,,,,,,,,,,,,w,1,0.5550886249984615,81.63517950000823,None,81.63517950000823,None,None,None,,,CL479,2022_Feb_02_1239,LexicalDescionTrial,2021.2.3,59.82249183241443,
cone,word,8.72,w,georgia,2,Georgia34.jpeg,experimental,A,,,,,0,19,19,33,,,,,,,,,,,,,,,,,,,,,,,w,1,0.6382363330048975,82.23403495800449,None,None,None,82.23403495800449,None,,,CL479,2022_Feb_02_1239,LexicalDescionTrial,2021.2.3,59.82249183241443,
flut,non-word,None,n,georgia,2,Georgia69.jpeg,experimental,A,,,,,0,20,20,68,,,,,,,,,,,,,,,,,,,,,,,n,1,0.6796757080010138,82.9184900830005,None,None,None,82.9184900830005,None,,,CL479,2022_Feb_02_1239,LexicalDescionTrial,2021.2.3,59.82249183241443,
vire,non-word,None,n,georgia,2,Georgia68.jpeg,experimental,A,,,,,0,21,21,67,,,,,,,,,,,,,,,,,,,,,,,n,1,0.8372372919984628,83.63540066601126,None,None,None,83.63540066601126,None,,,CL479,2022_Feb_02_1239,LexicalDescionTrial,2021.2.3,59.82249183241443,
hilp,non-word,None,n,comic sans,1,ComicSans59.jpeg,experimental,A,,,,,0,22,22,58,,,,,,,,,,,,,,,,,,,,,,,n,1,1.446586208010558,84.5177335000044,None,84.5177335000044,None,None,None,,,CL479,2022_Feb_02_1239,LexicalDescionTrial,2021.2.3,59.82249183241443,
cial,non-word,None,n,georgia,2,Georgia77.jpeg,experimental,A,,,,,0,23,23,76,,,,,,,,,,,,,,,,,,,,,,,n,1,0.878218999991077,86.00230033301341,None,None,None,86.00230033301341,None,,,CL479,2022_Feb_02_1239,LexicalDescionTrial,2021.2.3,59.82249183241443,
keen,word,8.144,w,georgia,2,Georgia28.jpeg,experimental,A,,,,,0,24,24,27,,,,,,,,,,,,,,,,,,,,,,,w,1,0.5325088330137078,86.91687208300573,None,None,None,86.91687208300573,None,,,CL479,2022_Feb_02_1239,LexicalDescionTrial,2021.2.3,59.82249183241443,
chow,word,8.11,w,comic sans,1,ComicSans14.jpeg,experimental,A,,,,,0,25,25,13,,,,,,,,,,,,,,,,,,,,,,,w,1,1.041782250002143,87.48483800000395,None,87.48483800000395,None,None,None,,,CL479,2022_Feb_02_1239,LexicalDescionTrial,2021.2.3,59.82249183241443,
daxy,non-word,None,n,georgia,2,Georgia78.jpeg,experimental,A,,,,,0,26,26,77,,,,,,,,,,,,,,,,,,,,,,,n,1,0.6010569169884548,88.56859254100709,None,None,None,88.56859254100709,None,,,CL479,2022_Feb_02_1239,LexicalDescionTrial,2021.2.3,59.82249183241443,
muin,non-word,None,n,georgia,2,Georgia67.jpeg,experimental,A,,,,,0,27,27,66,,,,,,,,,,,,,,,,,,,,,,,n,1,0.7929895420093089,89.19939933301066,None,None,None,89.19939933301066,None,,,CL479,2022_Feb_02_1239,LexicalDescionTrial,2021.2.3,59.82249183241443,
taul,non-word,None,n,comic sans,1,ComicSans57.jpeg,experimental,A,,,,,0,28,28,56,,,,,,,,,,,,,,,,,,,,,,,n,1,0.9447982090059668,90.03418654100096,None,90.03418654100096,None,None,None,,,CL479,2022_Feb_02_1239,LexicalDescionTrial,2021.2.3,59.82249183241443,
mons,non-word,None,n,comic sans,1,ComicSans45.jpeg,experimental,A,,,,,0,29,29,44,,,,,,,,,,,,,,,,,,,,,,,n,1,0.6531376249913592,91.01817033300176,None,91.01817033300176,None,None,None,,,CL479,2022_Feb_02_1239,LexicalDescionTrial,2021.2.3,59.82249183241443,
flea,word,8.144,w,georgia,2,Georgia27.jpeg,experimental,A,,,,,0,30,30,26,,,,,,,,,,,,,,,,,,,,,,,w,1,0.5637655000027735,91.71914079101407,None,None,None,91.71914079101407,None,,,CL479,2022_Feb_02_1239,LexicalDescionTrial,2021.2.3,59.82249183241443,
chep,non-word,None,n,comic sans,1,ComicSans44.jpeg,experimental,A,,,,,0,31,31,43,,,,,,,,,,,,,,,,,,,,,,,n,1,0.7251218750025146,92.31875191601284,None,92.31875191601284,None,None,None,,,CL479,2022_Feb_02_1239,LexicalDescionTrial,2021.2.3,59.82249183241443,
hesk,non-word,None,n,comic sans,1,ComicSans47.jpeg,experimental,A,,,,,0,32,32,46,,,,,,,,,,,,,,,,,,,,,,,n,1,0.7307761669944739,93.08565700000327,None,93.08565700000327,None,None,None,,,CL479,2022_Feb_02_1239,LexicalDescionTrial,2021.2.3,59.82249183241443,
heas,non-word,None,n,georgia,2,Georgia73.jpeg,experimental,A,,,,,0,33,33,72,,,,,,,,,,,,,,,,,,,,,,,n,1,0.5903038329997798,93.85192970800563,None,None,None,93.85192970800563,None,,,CL479,2022_Feb_02_1239,LexicalDescionTrial,2021.2.3,59.82249183241443,
erks,non-word,None,n,comic sans,1,ComicSans49.jpeg,experimental,A,,,,,0,34,34,48,,,,,,,,,,,,,,,,,,,,,,,n,1,0.5903029580076691,94.48467816600169,None,94.48467816600169,None,None,None,,,CL479,2022_Feb_02_1239,LexicalDescionTrial,2021.2.3,59.82249183241443,
woad,non-word,None,n,comic sans,1,ComicSans55.jpeg,experimental,A,,,,,0,35,35,54,,,,,,,,,,,,,,,,,,,,,,,w,0,0.6342214580072323,95.11901941600081,None,95.11901941600081,None,None,None,,,CL479,2022_Feb_02_1239,LexicalDescionTrial,2021.2.3,59.82249183241443,
ebit,non-word,None,n,comic sans,1,ComicSans50.jpeg,experimental,A,,,,,0,36,36,49,,,,,,,,,,,,,,,,,,,,,,,n,1,0.7795180829998571,95.7850282080035,None,95.7850282080035,None,None,None,,,CL479,2022_Feb_02_1239,LexicalDescionTrial,2021.2.3,59.82249183241443,
bulb,word,8.085,w,comic sans,1,ComicSans9.jpeg,experimental,A,,,,,0,37,37,8,,,,,,,,,,,,,,,,,,,,,,,w,1,0.6977882920036791,96.60108845800278,None,96.60108845800278,None,None,None,,,CL479,2022_Feb_02_1239,LexicalDescionTrial,2021.2.3,59.82249183241443,
bore,word,8.188,w,georgia,2,Georgia39.jpeg,experimental,A,,,,,0,38,38,38,,,,,,,,,,,,,,,,,,,,,,,n,0,0.9018620410060976,97.33435029101383,None,None,None,97.33435029101383,None,,,CL479,2022_Feb_02_1239,LexicalDescionTrial,2021.2.3,59.82249183241443,
sore,word,8.118,w,comic sans,1,ComicSans17.jpeg,experimental,A,,,,,0,39,39,16,,,,,,,,,,,,,,,,,,,,,,,w,1,0.6623790419980651,98.26760637501138,None,98.26760637501138,None,None,None,,,CL479,2022_Feb_02_1239,LexicalDescionTrial,2021.2.3,59.82249183241443,
atom,word,8.134,w,georgia,2,Georgia21.jpeg,experimental,A,,,,,0,40,40,20,,,,,,,,,,,,,,,,,,,,,,,w,1,0.7623113339941483,98.96882141601236,None,None,None,98.96882141601236,None,,,CL479,2022_Feb_02_1239,LexicalDescionTrial,2021.2.3,59.82249183241443,
ears,word,8.15,w,georgia,2,Georgia32.jpeg,experimental,A,,,,,0,41,41,31,,,,,,,,,,,,,,,,,,,,,,,w,1,0.7144147090002662,99.76587695800117,None,None,None,99.76587695800117,None,,,CL479,2022_Feb_02_1239,LexicalDescionTrial,2021.2.3,59.82249183241443,
woke,word,8.078,w,comic sans,1,ComicSans4.jpeg,experimental,A,,,,,0,42,42,3,,,,,,,,,,,,,,,,,,,,,,,w,1,0.6312787080096314,100.51905570800591,None,100.51905570800591,None,None,None,,,CL479,2022_Feb_02_1239,LexicalDescionTrial,2021.2.3,59.82249183241443,
