Stimulus,Type,log_freq_HAL,correct_response,the_font,the_font2,the_jpeg,phase,set,practicetrials.thisRepN,practicetrials.thisTrialN,practicetrials.thisN,practicetrials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,which_spreadsheet,intro_text.started,intro_text.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,image_practice.started,image_practice.stopped,response_practice.keys,response_practice.corr,response_practice.started,response_practice.stopped,feedback_text.started,feedback_text.stopped,response_practice.rt,text_3.started,text_3.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,image_comic.started,image_comic.stopped,image_georgia.started,image_georgia.stopped,text_end.started,text_end.stopped,participant,date,expName,psychopyVersion,frameRate,
tent,word,8.067,w,comic sans,1,ComicSans3.jpeg,experimental,A,,,,,0,31,31,2,,,,,,,,,,,,,,,,,,,,,,,w,1,0.6711846239995793,95.52591120800025,None,95.52591120800025,None,None,None,,,DA682,2022_Jan_31_1313,LexicalDescionTrial,2021.2.3,59.9629280392756,
joet,non-word,None,n,georgia,2,Georgia61.jpeg,experimental,A,,,,,0,32,32,60,,,,,,,,,,,,,,,,,,,,,,,n,1,0.7584811249998893,96.24179045799974,None,None,None,96.24179045799974,None,,,DA682,2022_Jan_31_1313,LexicalDescionTrial,2021.2.3,59.9629280392756,
wald,non-word,None,n,georgia,2,Georgia80.jpeg,experimental,A,,,,,0,33,33,79,,,,,,,,,,,,,,,,,,,,,,,n,1,0.6988086250003107,97.04404925000017,None,None,None,97.04404925000017,None,,,DA682,2022_Jan_31_1313,LexicalDescionTrial,2021.2.3,59.9629280392756,
runk,non-word,None,n,comic sans,1,ComicSans54.jpeg,experimental,A,,,,,0,34,34,53,,,,,,,,,,,,,,,,,,,,,,,n,1,1.220977832999779,97.7775173329992,None,97.7775173329992,None,None,None,,,DA682,2022_Jan_31_1313,LexicalDescionTrial,2021.2.3,59.9629280392756,
lamb,word,8.144,w,georgia,2,Georgia29.jpeg,experimental,A,,,,,0,35,35,28,,,,,,,,,,,,,,,,,,,,,,,w,1,0.5921775410006376,99.04395233299874,None,None,None,99.04395233299874,None,,,DA682,2022_Jan_31_1313,LexicalDescionTrial,2021.2.3,59.9629280392756,
mist,word,8.091,w,comic sans,1,ComicSans10.jpeg,experimental,A,,,,,0,36,36,9,,,,,,,,,,,,,,,,,,,,,,,w,1,0.6582079990002967,99.67537449999872,None,99.67537449999872,None,None,None,,,DA682,2022_Jan_31_1313,LexicalDescionTrial,2021.2.3,59.9629280392756,
vekd,non-word,None,n,georgia,2,Georgia76.jpeg,experimental,A,,,,,0,37,37,75,,,,,,,,,,,,,,,,,,,,,,,n,1,0.6219759989999147,100.3771765829988,None,None,None,100.3771765829988,None,,,DA682,2022_Jan_31_1313,LexicalDescionTrial,2021.2.3,59.9629280392756,
taul,non-word,None,n,comic sans,1,ComicSans57.jpeg,experimental,A,,,,,0,38,38,56,,,,,,,,,,,,,,,,,,,,,,,n,1,0.6370132070005639,101.04367620799894,None,101.04367620799894,None,None,None,,,DA682,2022_Jan_31_1313,LexicalDescionTrial,2021.2.3,59.9629280392756,
prop,word,8.112,w,comic sans,1,ComicSans15.jpeg,experimental,A,,,,,0,39,39,14,,,,,,,,,,,,,,,,,,,,,,,w,1,0.6645286660004786,101.72535941699971,None,101.72535941699971,None,None,None,,,DA682,2022_Jan_31_1313,LexicalDescionTrial,2021.2.3,59.9629280392756,
chep,non-word,None,n,comic sans,1,ComicSans44.jpeg,experimental,A,,,,,0,40,40,43,,,,,,,,,,,,,,,,,,,,,,,n,1,0.8942292069987161,102.42546745799882,None,102.42546745799882,None,None,None,,,DA682,2022_Jan_31_1313,LexicalDescionTrial,2021.2.3,59.9629280392756,
